TRADE HISTORY
Date,Action,Ticker,Name,Price,Shares,Value,Weight %
2023-03-31,BUY,DOGE,DOGE,0.0927,624943.336787,57947.12,10.0
2023-04-14,SELL,LTC,LTC,90.53,,57602.49,
2023-04-21,SELL,DOGE,DOGE,0.0786,,58664.65,
2023-04-21,SELL,LINK,LINK,7.005,,59231.94,
2023-04-28,BUY,LINK,LINK,7.1186,9978.616368,71034.08,12.5
2023-05-05,SELL,BTC,BTC,27617.8,,67570.86,
2023-05-05,SELL,ETH,ETH,1842.0,,68684.92,
2023-05-05,SELL,XRP,XRP,0.4305,,66024.18,
2023-05-05,SELL,ADA,ADA,0.3708,,66873.15,
2023-05-05,SELL,SOL,SOL,20.94,,66851.85,
2023-05-05,SELL,TRX,TRX,0.0694,,71206.43,
2023-05-05,SELL,AVAX,AVAX,15.56,,63963.56,
2023-05-05,SELL,LINK,LINK,6.6033,,65892.1,
2023-05-05,BUY,PAXG,PAXG,2041.79,263.037351,537067.03,100.0
2023-05-26,SELL,PAXG,PAXG,1972.0,,518709.66,
2023-06-23,BUY,BTC,BTC,30088.1,8.619847,259354.83,50.0
2023-06-23,BUY,TRX,TRX,0.0738,3516341.884884,259354.83,50.0
2023-06-30,BUY,SOL,SOL,18.99,9370.960529,177954.54,33.33
2023-07-07,BUY,LTC,LTC,96.31,1460.625897,140672.88,25.0
2023-07-14,BUY,XRP,XRP,0.82,102214.277365,83815.71,14.29
2023-07-14,BUY,AVAX,AVAX,13.99,5991.115614,83815.71,14.29
2023-07-14,BUY,LINK,LINK,6.9187,12114.424801,83815.71,14.29
2023-07-21,BUY,DOGE,DOGE,0.0779,926239.580244,72187.87,12.5
2023-07-28,SELL,BTC,BTC,29152.3,,71735.59,
2023-07-28,SELL,XRP,XRP,0.6842,,68948.1,
2023-07-28,SELL,DOGE,DOGE,0.0742,,68705.4,
2023-07-28,SELL,SOL,SOL,23.14,,66339.45,
2023-07-28,SELL,LTC,LTC,87.52,,69703.03,
2023-07-28,SELL,TRX,TRX,0.0765,,66976.91,
2023-07-28,SELL,AVAX,AVAX,12.54,,68319.69,
2023-07-28,SELL,LINK,LINK,7.3466,,68405.58,
2023-09-15,BUY,PAXG,PAXG,1922.54,285.629296,549133.75,100.0
2023-09-22,SELL,PAXG,PAXG,1882.0,,537554.34,
2023-09-29,BUY,BTC,BTC,27800.0,4.834122,134388.58,25.0
2023-09-29,BUY,SOL,SOL,23.15,5805.122416,134388.58,25.0
2023-09-29,BUY,TRX,TRX,0.0889,1511818.655468,134388.58,25.0
2023-09-29,BUY,LINK,LINK,7.6725,17515.709945,134388.58,25.0
2023-10-06,SELL,BTC,BTC,26868.2,,129884.15,
2023-10-06,SELL,SOL,SOL,22.01,,127770.74,
2023-10-06,SELL,TRX,TRX,0.086,,130033.03,
2023-10-06,SELL,LINK,LINK,7.3833,,129323.57,
2023-10-13,BUY,BTC,BTC,28335.1,4.561582,129252.87,25.0
2023-10-13,BUY,SOL,SOL,23.41,5521.267558,129252.87,25.0
2023-10-13,BUY,TRX,TRX,0.0892,1448844.576679,129252.87,25.0
2023-10-13,BUY,LINK,LINK,7.3569,17568.883926,129252.87,25.0
2023-10-20,BUY,XRP,XRP,0.5554,149921.503866,83266.4,12.5
2023-10-20,BUY,DOGE,DOGE,0.0684,1218064.518333,83266.4,12.5
2023-10-20,BUY,ADA,ADA,0.2807,296590.868038,83266.4,12.5
2023-10-20,BUY,AVAX,AVAX,10.52,7915.057343,83266.4,12.5
2023-10-27,BUY,ETH,ETH,1847.43,43.972827,81236.72,11.11
2023-11-03,BUY,LTC,LTC,73.08,1088.282182,79531.66,10.0
2023-12-29,SELL,XRP,XRP,0.5825,,107223.33,
2023-12-29,SELL,DOGE,DOGE,0.082,,102516.92,
2023-12-29,SELL,LTC,LTC,65.29,,100353.96,
2024-01-05,BUY,LTC,LTC,70.06,2005.333208,140493.64,12.5
2024-01-19,SELL,LTC,LTC,66.07,,130853.34,
2024-02-02,BUY,LTC,LTC,68.6,2087.485573,143201.51,12.5
2024-02-09,BUY,DOGE,DOGE,0.0855,1668233.497147,142679.67,11.11
2024-02-23,BUY,XRP,XRP,0.5756,247044.750798,142203.9,10.0
2024-03-22,SELL,TRX,TRX,0.1194,,160524.07,
2024-03-29,SELL,ADA,ADA,0.5694,,164056.18,
2024-03-29,SELL,LINK,LINK,17.7,,171314.46,
2024-04-12,SELL,XRP,XRP,0.4951,,188479.52,
2024-04-12,SELL,AVAX,AVAX,33.53,,166662.29,
2024-04-19,SELL,ETH,ETH,3138.84,,274358.0,
2024-04-26,SELL,BTC,BTC,58272.2,,312262.83,
2024-04-26,SELL,SOL,SOL,134.51,,313729.79,
2024-04-26,SELL,DOGE,DOGE,0.1301,,296390.0,
2024-04-26,SELL,LTC,LTC,80.11,,331801.92,
2024-04-26,BUY,PAXG,PAXG,2304.0,544.350928,1254184.54,100.0
2024-06-14,SELL,PAXG,PAXG,2320.27,,1263041.13,
2024-07-12,BUY,PAXG,PAXG,2437.78,518.111203,1263041.13,100.0
2024-07-19,SELL,PAXG,PAXG,2387.3,,1236886.87,
2024-07-26,BUY,PAXG,PAXG,2434.2,508.128697,1236886.87,100.0
